name,stars,num_reviews,price,cuisine
Smoke Jazz Club,4.5 of 5 bubbles,412 reviews,$$ - $$$,American
Food Emporium,4 of 5 bubbles,309 reviews,$,American
LAVO Italian Restaurant & Nightclub,4 of 5 bubbles,741 reviews,$$$$,Italian
Antique Garage,4 of 5 bubbles,304 reviews,$$ - $$$,Mediterranean
The Green Table,4.5 of 5 bubbles,411 reviews,$$ - $$$,American
BXL Cafe,4.5 of 5 bubbles,301 reviews,$$ - $$$,European
Ruby Tuesday,4 of 5 bubbles,"1,766 reviews",$$ - $$$,American
Big Daddy's,4 of 5 bubbles,356 reviews,$$ - $$$,American
Dean Deluca,4.5 of 5 bubbles,244 reviews,$$ - $$$,American
Knickerbocker Bar and Grill,4 of 5 bubbles,327 reviews,$$ - $$$,American
DBGB Kitchen & Bar,4 of 5 bubbles,487 reviews,$$ - $$$,French
The Capital Grille,4.5 of 5 bubbles,305 reviews,$$$$,American
Strip House,4 of 5 bubbles,529 reviews,$$$$,American
Le Relais de Venise L'Entrecote,4 of 5 bubbles,624 reviews,$$ - $$$,French
Lombardi's Pizza,4 of 5 bubbles,"3,985 reviews",$$ - $$$,Italian
Black Iron Burger,4.5 of 5 bubbles,201 reviews,$$ - $$$,American
Blind Tiger Ale House,4.5 of 5 bubbles,251 reviews,$$ - $$$,American
Perry St,4.5 of 5 bubbles,308 reviews,$$$$,Gluten Free Options
The Sea Grill,4 of 5 bubbles,541 reviews,$$$$,American
Monkey Bar,4 of 5 bubbles,468 reviews,$$$$,American
P.J. Clarke's,4 of 5 bubbles,873 reviews,$$ - $$$,Steakhouse
Blue Ribbon Brasserie,4.5 of 5 bubbles,315 reviews,$$ - $$$,American
Dovetail,4.5 of 5 bubbles,433 reviews,$$$$,American
Ruby's,4.5 of 5 bubbles,213 reviews,$$ - $$$,Cafe
Sweetgreen,4.5 of 5 bubbles,169 reviews,$,American
Ceci Italian Cuisine,4 of 5 bubbles,485 reviews,$$ - $$$,Steakhouse
Bond Street,4.5 of 5 bubbles,289 reviews,$$$$,Japanese
Caracas Arepa Bar,4.5 of 5 bubbles,295 reviews,$,Venezuelan
Heartland Brewery Chophouse,4 of 5 bubbles,891 reviews,$$ - $$$,American
Mamoun's Falafel,4.5 of 5 bubbles,356 reviews,$,Fast Food
The Rum House,4 of 5 bubbles,397 reviews,$$ - $$$,
Red Bamboo,4.5 of 5 bubbles,252 reviews,$$ - $$$,American
Ben's Kosher Delicatessen Restaurant & Caterers,4 of 5 bubbles,645 reviews,$$ - $$$,American
Sangria 46,4 of 5 bubbles,413 reviews,$$ - $$$,Latin
Luigi's Gourmet Pizza,4.5 of 5 bubbles,156 reviews,$,Italian
Nirvana,4 of 5 bubbles,280 reviews,$$ - $$$,Indian
Ninja New York,4 of 5 bubbles,789 reviews,$$ - $$$,Japanese
O'Reilly's Bar & Kitchen,4 of 5 bubbles,337 reviews,$$ - $$$,American
Il Tinello Ristorante,4.5 of 5 bubbles,226 reviews,$$$$,Italian
Sarabeth's East,4 of 5 bubbles,427 reviews,$$ - $$$,American
Philip Marie Restaurant,4.5 of 5 bubbles,437 reviews,$$ - $$$,American
The Paris Cafe,4.5 of 5 bubbles,256 reviews,$$ - $$$,American
Flex Mussels,4.5 of 5 bubbles,263 reviews,$$ - $$$,Seafood
Miss Korea BBQ,4 of 5 bubbles,458 reviews,$$ - $$$,Barbecue
Nice Matin,4 of 5 bubbles,748 reviews,$$ - $$$,French
Uva,4.5 of 5 bubbles,341 reviews,$$ - $$$,Italian
Topaz Thai Restaurant,4 of 5 bubbles,534 reviews,$$ - $$$,Asian
Casa Mono,4 of 5 bubbles,417 reviews,$$ - $$$,Mediterranean
Lure Fishbar,4 of 5 bubbles,489 reviews,$$ - $$$,Seafood
Il Mulino,4.5 of 5 bubbles,431 reviews,$$$$,Italian
